"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"HHS Region 9","2 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 9","2 wk ahead","Bin","percent","9.3","9.4",1e-04
"HHS Region 9","2 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 9","2 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 9","2 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 9","2 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 9","2 wk ahead","Bin","percent","9.8","9.9",1e-04
"HHS Region 9","2 wk ahead","Bin","percent","9.9","10",0
"HHS Region 9","2 wk ahead","Bin","percent","10","10.1",0
"HHS Region 9","2 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 9","2 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 9","2 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 9","2 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 9","2 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 9","2 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 9","2 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 9","2 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 9","2 wk ahead","Bin","percent","10.9","11",0
"HHS Region 9","2 wk ahead","Bin","percent","11","11.1",0
"HHS Region 9","2 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 9","2 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 9","2 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 9","2 wk ahead","Bin","percent","11.4","11.5",1e-04
"HHS Region 9","2 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 9","2 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 9","2 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 9","2 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 9","2 wk ahead","Bin","percent","11.9","12",0
"HHS Region 9","2 wk ahead","Bin","percent","12","12.1",0
"HHS Region 9","2 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 9","2 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 9","2 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 9","2 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 9","2 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 9","2 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 9","2 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 9","2 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 9","2 wk ahead","Bin","percent","12.9","13",0
"HHS Region 9","2 wk ahead","Bin","percent","13","100",0
"HHS Region 9","3 wk ahead","Point","percent",NA,NA,3.1
"HHS Region 9","3 wk ahead","Bin","percent","0","0.1",0
"HHS Region 9","3 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 9","3 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 9","3 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 9","3 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 9","3 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 9","3 wk ahead","Bin","percent","0.6","0.7",1e-04
"HHS Region 9","3 wk ahead","Bin","percent","0.7","0.8",4e-04
"HHS Region 9","3 wk ahead","Bin","percent","0.8","0.9",3e-04
"HHS Region 9","3 wk ahead","Bin","percent","0.9","1",6e-04
"HHS Region 9","3 wk ahead","Bin","percent","1","1.1",4e-04
"HHS Region 9","3 wk ahead","Bin","percent","1.1","1.2",0.0019
"HHS Region 9","3 wk ahead","Bin","percent","1.2","1.3",0.0024
"HHS Region 9","3 wk ahead","Bin","percent","1.3","1.4",0.0047
"HHS Region 9","3 wk ahead","Bin","percent","1.4","1.5",0.0064
"HHS Region 9","3 wk ahead","Bin","percent","1.5","1.6",0.0087
"HHS Region 9","3 wk ahead","Bin","percent","1.6","1.7",0.0134
"HHS Region 9","3 wk ahead","Bin","percent","1.7","1.8",0.0139
"HHS Region 9","3 wk ahead","Bin","percent","1.8","1.9",0.0179
"HHS Region 9","3 wk ahead","Bin","percent","1.9","2",0.0211
"HHS Region 9","3 wk ahead","Bin","percent","2","2.1",0.0232
"HHS Region 9","3 wk ahead","Bin","percent","2.1","2.2",0.027
"HHS Region 9","3 wk ahead","Bin","percent","2.2","2.3",0.0299
"HHS Region 9","3 wk ahead","Bin","percent","2.3","2.4",0.0334
"HHS Region 9","3 wk ahead","Bin","percent","2.4","2.5",0.035
"HHS Region 9","3 wk ahead","Bin","percent","2.5","2.6",0.0373
"HHS Region 9","3 wk ahead","Bin","percent","2.6","2.7",0.0394
"HHS Region 9","3 wk ahead","Bin","percent","2.7","2.8",0.0411
"HHS Region 9","3 wk ahead","Bin","percent","2.8","2.9",0.0379
"HHS Region 9","3 wk ahead","Bin","percent","2.9","3",0.0363
"HHS Region 9","3 wk ahead","Bin","percent","3","3.1",0.0401
"HHS Region 9","3 wk ahead","Bin","percent","3.1","3.2",0.037
"HHS Region 9","3 wk ahead","Bin","percent","3.2","3.3",0.0402
"HHS Region 9","3 wk ahead","Bin","percent","3.3","3.4",0.0381
"HHS Region 9","3 wk ahead","Bin","percent","3.4","3.5",0.0321
"HHS Region 9","3 wk ahead","Bin","percent","3.5","3.6",0.0323
"HHS Region 9","3 wk ahead","Bin","percent","3.6","3.7",0.0332
"HHS Region 9","3 wk ahead","Bin","percent","3.7","3.8",0.0301
"HHS Region 9","3 wk ahead","Bin","percent","3.8","3.9",0.0264
"HHS Region 9","3 wk ahead","Bin","percent","3.9","4",0.0252
"HHS Region 9","3 wk ahead","Bin","percent","4","4.1",0.0257
"HHS Region 9","3 wk ahead","Bin","percent","4.1","4.2",0.0218
"HHS Region 9","3 wk ahead","Bin","percent","4.2","4.3",0.0224
"HHS Region 9","3 wk ahead","Bin","percent","4.3","4.4",0.0162
"HHS Region 9","3 wk ahead","Bin","percent","4.4","4.5",0.0168
"HHS Region 9","3 wk ahead","Bin","percent","4.5","4.6",0.0143
"HHS Region 9","3 wk ahead","Bin","percent","4.6","4.7",0.0122
"HHS Region 9","3 wk ahead","Bin","percent","4.7","4.8",0.0109
"HHS Region 9","3 wk ahead","Bin","percent","4.8","4.9",0.0114
"HHS Region 9","3 wk ahead","Bin","percent","4.9","5",0.0104
"HHS Region 9","3 wk ahead","Bin","percent","5","5.1",0.0075
"HHS Region 9","3 wk ahead","Bin","percent","5.1","5.2",0.0088
"HHS Region 9","3 wk ahead","Bin","percent","5.2","5.3",0.0068
"HHS Region 9","3 wk ahead","Bin","percent","5.3","5.4",0.0052
"HHS Region 9","3 wk ahead","Bin","percent","5.4","5.5",0.0059
"HHS Region 9","3 wk ahead","Bin","percent","5.5","5.6",0.0048
"HHS Region 9","3 wk ahead","Bin","percent","5.6","5.7",0.005
"HHS Region 9","3 wk ahead","Bin","percent","5.7","5.8",0.0039
"HHS Region 9","3 wk ahead","Bin","percent","5.8","5.9",0.003
"HHS Region 9","3 wk ahead","Bin","percent","5.9","6",0.0024
"HHS Region 9","3 wk ahead","Bin","percent","6","6.1",0.0033
"HHS Region 9","3 wk ahead","Bin","percent","6.1","6.2",0.0016
"HHS Region 9","3 wk ahead","Bin","percent","6.2","6.3",0.0016
"HHS Region 9","3 wk ahead","Bin","percent","6.3","6.4",0.0015
"HHS Region 9","3 wk ahead","Bin","percent","6.4","6.5",0.0014
"HHS Region 9","3 wk ahead","Bin","percent","6.5","6.6",0.000900000000000001
"HHS Region 9","3 wk ahead","Bin","percent","6.6","6.7",0.0017
"HHS Region 9","3 wk ahead","Bin","percent","6.7","6.8",0.001
"HHS Region 9","3 wk ahead","Bin","percent","6.8","6.9",3e-04
"HHS Region 9","3 wk ahead","Bin","percent","6.9","7",8e-04
"HHS Region 9","3 wk ahead","Bin","percent","7","7.1",6e-04
"HHS Region 9","3 wk ahead","Bin","percent","7.1","7.2",1e-04
"HHS Region 9","3 wk ahead","Bin","percent","7.2","7.3",3e-04
"HHS Region 9","3 wk ahead","Bin","percent","7.3","7.4",3e-04
"HHS Region 9","3 wk ahead","Bin","percent","7.4","7.5",3e-04
"HHS Region 9","3 wk ahead","Bin","percent","7.5","7.6",1e-04
"HHS Region 9","3 wk ahead","Bin","percent","7.6","7.7",4e-04
"HHS Region 9","3 wk ahead","Bin","percent","7.7","7.8",2e-04
"HHS Region 9","3 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 9","3 wk ahead","Bin","percent","7.9","8",2e-04
"HHS Region 9","3 wk ahead","Bin","percent","8","8.1",0
"HHS Region 9","3 wk ahead","Bin","percent","8.1","8.2",1e-04
"HHS Region 9","3 wk ahead","Bin","percent","8.2","8.3",2e-04
"HHS Region 9","3 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 9","3 wk ahead","Bin","percent","8.4","8.5",1e-04
"HHS Region 9","3 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 9","3 wk ahead","Bin","percent","8.6","8.7",1e-04
"HHS Region 9","3 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 9","3 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 9","3 wk ahead","Bin","percent","8.9","9",0
"HHS Region 9","3 wk ahead","Bin","percent","9","9.1",0
"HHS Region 9","3 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 9","3 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 9","3 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 9","3 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 9","3 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 9","3 wk ahead","Bin","percent","9.6","9.7",1e-04
"HHS Region 9","3 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 9","3 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 9","3 wk ahead","Bin","percent","9.9","10",0
"HHS Region 9","3 wk ahead","Bin","percent","10","10.1",0
"HHS Region 9","3 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 9","3 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 9","3 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 9","3 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 9","3 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 9","3 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 9","3 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 9","3 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 9","3 wk ahead","Bin","percent","10.9","11",0
"HHS Region 9","3 wk ahead","Bin","percent","11","11.1",0
"HHS Region 9","3 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 9","3 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 9","3 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 9","3 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 9","3 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 9","3 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 9","3 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 9","3 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 9","3 wk ahead","Bin","percent","11.9","12",0
"HHS Region 9","3 wk ahead","Bin","percent","12","12.1",0
"HHS Region 9","3 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 9","3 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 9","3 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 9","3 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 9","3 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 9","3 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 9","3 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 9","3 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 9","3 wk ahead","Bin","percent","12.9","13",0
"HHS Region 9","3 wk ahead","Bin","percent","13","100",0
"HHS Region 9","4 wk ahead","Point","percent",NA,NA,3.3
"HHS Region 9","4 wk ahead","Bin","percent","0","0.1",0
"HHS Region 9","4 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 9","4 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 9","4 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 9","4 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 9","4 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 9","4 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 9","4 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 9","4 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 9","4 wk ahead","Bin","percent","0.9","1",2e-04
"HHS Region 9","4 wk ahead","Bin","percent","1","1.1",4e-04
"HHS Region 9","4 wk ahead","Bin","percent","1.1","1.2",0.0012
"HHS Region 9","4 wk ahead","Bin","percent","1.2","1.3",0.0023
"HHS Region 9","4 wk ahead","Bin","percent","1.3","1.4",0.0021
"HHS Region 9","4 wk ahead","Bin","percent","1.4","1.5",0.0033
"HHS Region 9","4 wk ahead","Bin","percent","1.5","1.6",0.0058
"HHS Region 9","4 wk ahead","Bin","percent","1.6","1.7",0.0078
"HHS Region 9","4 wk ahead","Bin","percent","1.7","1.8",0.0083
"HHS Region 9","4 wk ahead","Bin","percent","1.8","1.9",0.0111
"HHS Region 9","4 wk ahead","Bin","percent","1.9","2",0.0142
"HHS Region 9","4 wk ahead","Bin","percent","2","2.1",0.0192
"HHS Region 9","4 wk ahead","Bin","percent","2.1","2.2",0.019
"HHS Region 9","4 wk ahead","Bin","percent","2.2","2.3",0.0225
"HHS Region 9","4 wk ahead","Bin","percent","2.3","2.4",0.0262
"HHS Region 9","4 wk ahead","Bin","percent","2.4","2.5",0.0299
"HHS Region 9","4 wk ahead","Bin","percent","2.5","2.6",0.0349
"HHS Region 9","4 wk ahead","Bin","percent","2.6","2.7",0.0355
"HHS Region 9","4 wk ahead","Bin","percent","2.7","2.8",0.035
"HHS Region 9","4 wk ahead","Bin","percent","2.8","2.9",0.0372
"HHS Region 9","4 wk ahead","Bin","percent","2.9","3",0.0368
"HHS Region 9","4 wk ahead","Bin","percent","3","3.1",0.0373
"HHS Region 9","4 wk ahead","Bin","percent","3.1","3.2",0.0386
"HHS Region 9","4 wk ahead","Bin","percent","3.2","3.3",0.0398
"HHS Region 9","4 wk ahead","Bin","percent","3.3","3.4",0.0367
"HHS Region 9","4 wk ahead","Bin","percent","3.4","3.5",0.038
"HHS Region 9","4 wk ahead","Bin","percent","3.5","3.6",0.0366
"HHS Region 9","4 wk ahead","Bin","percent","3.6","3.7",0.0372
"HHS Region 9","4 wk ahead","Bin","percent","3.7","3.8",0.0332
"HHS Region 9","4 wk ahead","Bin","percent","3.8","3.9",0.0337
"HHS Region 9","4 wk ahead","Bin","percent","3.9","4",0.0267
"HHS Region 9","4 wk ahead","Bin","percent","4","4.1",0.0265
"HHS Region 9","4 wk ahead","Bin","percent","4.1","4.2",0.0257
"HHS Region 9","4 wk ahead","Bin","percent","4.2","4.3",0.0221
"HHS Region 9","4 wk ahead","Bin","percent","4.3","4.4",0.0212
"HHS Region 9","4 wk ahead","Bin","percent","4.4","4.5",0.0228
"HHS Region 9","4 wk ahead","Bin","percent","4.5","4.6",0.0162
"HHS Region 9","4 wk ahead","Bin","percent","4.6","4.7",0.0161
"HHS Region 9","4 wk ahead","Bin","percent","4.7","4.8",0.0181
"HHS Region 9","4 wk ahead","Bin","percent","4.8","4.9",0.0135
"HHS Region 9","4 wk ahead","Bin","percent","4.9","5",0.0123
"HHS Region 9","4 wk ahead","Bin","percent","5","5.1",0.0113
"HHS Region 9","4 wk ahead","Bin","percent","5.1","5.2",0.01
"HHS Region 9","4 wk ahead","Bin","percent","5.2","5.3",0.0085
"HHS Region 9","4 wk ahead","Bin","percent","5.3","5.4",0.0089
"HHS Region 9","4 wk ahead","Bin","percent","5.4","5.5",0.0062
"HHS Region 9","4 wk ahead","Bin","percent","5.5","5.6",0.0063
"HHS Region 9","4 wk ahead","Bin","percent","5.6","5.7",0.0068
"HHS Region 9","4 wk ahead","Bin","percent","5.7","5.8",0.0042
"HHS Region 9","4 wk ahead","Bin","percent","5.8","5.9",0.0039
"HHS Region 9","4 wk ahead","Bin","percent","5.9","6",0.0034
"HHS Region 9","4 wk ahead","Bin","percent","6","6.1",0.0026
"HHS Region 9","4 wk ahead","Bin","percent","6.1","6.2",0.0034
"HHS Region 9","4 wk ahead","Bin","percent","6.2","6.3",0.0017
"HHS Region 9","4 wk ahead","Bin","percent","6.3","6.4",0.0018
"HHS Region 9","4 wk ahead","Bin","percent","6.4","6.5",0.0019
"HHS Region 9","4 wk ahead","Bin","percent","6.5","6.6",0.0018
"HHS Region 9","4 wk ahead","Bin","percent","6.6","6.7",0.0014
"HHS Region 9","4 wk ahead","Bin","percent","6.7","6.8",0.0014
"HHS Region 9","4 wk ahead","Bin","percent","6.8","6.9",0.000900000000000001
"HHS Region 9","4 wk ahead","Bin","percent","6.9","7",0.001
"HHS Region 9","4 wk ahead","Bin","percent","7","7.1",0.000900000000000001
"HHS Region 9","4 wk ahead","Bin","percent","7.1","7.2",0.0017
"HHS Region 9","4 wk ahead","Bin","percent","7.2","7.3",6e-04
"HHS Region 9","4 wk ahead","Bin","percent","7.3","7.4",6e-04
"HHS Region 9","4 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 9","4 wk ahead","Bin","percent","7.5","7.6",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","7.6","7.7",7e-04
"HHS Region 9","4 wk ahead","Bin","percent","7.7","7.8",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 9","4 wk ahead","Bin","percent","7.9","8",1e-04
"HHS Region 9","4 wk ahead","Bin","percent","8","8.1",4e-04
"HHS Region 9","4 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 9","4 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 9","4 wk ahead","Bin","percent","8.3","8.4",2e-04
"HHS Region 9","4 wk ahead","Bin","percent","8.4","8.5",4e-04
"HHS Region 9","4 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 9","4 wk ahead","Bin","percent","8.6","8.7",1e-04
"HHS Region 9","4 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 9","4 wk ahead","Bin","percent","8.8","8.9",1e-04
"HHS Region 9","4 wk ahead","Bin","percent","8.9","9",0
"HHS Region 9","4 wk ahead","Bin","percent","9","9.1",1e-04
"HHS Region 9","4 wk ahead","Bin","percent","9.1","9.2",2e-04
"HHS Region 9","4 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 9","4 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 9","4 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 9","4 wk ahead","Bin","percent","9.5","9.6",1e-04
"HHS Region 9","4 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 9","4 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 9","4 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 9","4 wk ahead","Bin","percent","9.9","10",0
"HHS Region 9","4 wk ahead","Bin","percent","10","10.1",0
"HHS Region 9","4 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 9","4 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 9","4 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 9","4 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 9","4 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 9","4 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 9","4 wk ahead","Bin","percent","10.7","10.8",1e-04
"HHS Region 9","4 wk ahead","Bin","percent","10.8","10.9",1e-04
"HHS Region 9","4 wk ahead","Bin","percent","10.9","11",0
"HHS Region 9","4 wk ahead","Bin","percent","11","11.1",0
"HHS Region 9","4 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 9","4 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 9","4 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 9","4 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 9","4 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 9","4 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 9","4 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 9","4 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 9","4 wk ahead","Bin","percent","11.9","12",0
"HHS Region 9","4 wk ahead","Bin","percent","12","12.1",0
"HHS Region 9","4 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 9","4 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 9","4 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 9","4 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 9","4 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 9","4 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 9","4 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 9","4 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 9","4 wk ahead","Bin","percent","12.9","13",0
"HHS Region 9","4 wk ahead","Bin","percent","13","100",0
"HHS Region 10","Season onset","Point","week",NA,NA,51
"HHS Region 10","Season onset","Bin","week","40","41",0
"HHS Region 10","Season onset","Bin","week","41","42",0
"HHS Region 10","Season onset","Bin","week","42","43",0
"HHS Region 10","Season onset","Bin","week","43","44",0
"HHS Region 10","Season onset","Bin","week","44","45",0
"HHS Region 10","Season onset","Bin","week","45","46",0
"HHS Region 10","Season onset","Bin","week","46","47",0
"HHS Region 10","Season onset","Bin","week","47","48",0
"HHS Region 10","Season onset","Bin","week","48","49",0
"HHS Region 10","Season onset","Bin","week","49","50",0
"HHS Region 10","Season onset","Bin","week","50","51",0
"HHS Region 10","Season onset","Bin","week","51","52",1
"HHS Region 10","Season onset","Bin","week","52","53",0
"HHS Region 10","Season onset","Bin","week","1","2",0
"HHS Region 10","Season onset","Bin","week","2","3",0
"HHS Region 10","Season onset","Bin","week","3","4",0
"HHS Region 10","Season onset","Bin","week","4","5",0
"HHS Region 10","Season onset","Bin","week","5","6",0
"HHS Region 10","Season onset","Bin","week","6","7",0
"HHS Region 10","Season onset","Bin","week","7","8",0
"HHS Region 10","Season onset","Bin","week","8","9",0
"HHS Region 10","Season onset","Bin","week","9","10",0
"HHS Region 10","Season onset","Bin","week","10","11",0
"HHS Region 10","Season onset","Bin","week","11","12",0
"HHS Region 10","Season onset","Bin","week","12","13",0
"HHS Region 10","Season onset","Bin","week","13","14",0
"HHS Region 10","Season onset","Bin","week","14","15",0
"HHS Region 10","Season onset","Bin","week","15","16",0
"HHS Region 10","Season onset","Bin","week","16","17",0
"HHS Region 10","Season onset","Bin","week","17","18",0
"HHS Region 10","Season onset","Bin","week","18","19",0
"HHS Region 10","Season onset","Bin","week","19","20",0
"HHS Region 10","Season onset","Bin","week","20","21",0
"HHS Region 10","Season onset","Bin","week","none","none",0
"HHS Region 10","Season peak week","Point","week",NA,NA,1
"HHS Region 10","Season peak week","Bin","week","40","41",0
"HHS Region 10","Season peak week","Bin","week","41","42",0
"HHS Region 10","Season peak week","Bin","week","42","43",0
"HHS Region 10","Season peak week","Bin","week","43","44",0
"HHS Region 10","Season peak week","Bin","week","44","45",0
"HHS Region 10","Season peak week","Bin","week","45","46",0
"HHS Region 10","Season peak week","Bin","week","46","47",0
"HHS Region 10","Season peak week","Bin","week","47","48",0
"HHS Region 10","Season peak week","Bin","week","48","49",0
"HHS Region 10","Season peak week","Bin","week","49","50",0
"HHS Region 10","Season peak week","Bin","week","50","51",0
"HHS Region 10","Season peak week","Bin","week","51","52",0
"HHS Region 10","Season peak week","Bin","week","52","53",0
"HHS Region 10","Season peak week","Bin","week","1","2",0.504568106312292
"HHS Region 10","Season peak week","Bin","week","2","3",0
"HHS Region 10","Season peak week","Bin","week","3","4",0
"HHS Region 10","Season peak week","Bin","week","4","5",0
"HHS Region 10","Season peak week","Bin","week","5","6",0
"HHS Region 10","Season peak week","Bin","week","6","7",0
"HHS Region 10","Season peak week","Bin","week","7","8",0.127595514950166
"HHS Region 10","Season peak week","Bin","week","8","9",0.094892026578073
"HHS Region 10","Season peak week","Bin","week","9","10",0.0848214285714286
"HHS Region 10","Season peak week","Bin","week","10","11",0.0264742524916943
"HHS Region 10","Season peak week","Bin","week","11","12",0.0612541528239202
"HHS Region 10","Season peak week","Bin","week","12","13",0.0258513289036545
"HHS Region 10","Season peak week","Bin","week","13","14",0.0241901993355482
"HHS Region 10","Season peak week","Bin","week","14","15",0.0144310631229236
"HHS Region 10","Season peak week","Bin","week","15","16",0.00716362126245847
"HHS Region 10","Season peak week","Bin","week","16","17",0.00508720930232558
"HHS Region 10","Season peak week","Bin","week","17","18",0.00176495016611296
"HHS Region 10","Season peak week","Bin","week","18","19",0.0118355481727575
"HHS Region 10","Season peak week","Bin","week","19","20",0.00352990033222591
"HHS Region 10","Season peak week","Bin","week","20","21",0.0065406976744186
"HHS Region 10","Season peak percentage","Point","percent",NA,NA,4.8
"HHS Region 10","Season peak percentage","Bin","percent","0","0.1",0
"HHS Region 10","Season peak percentage","Bin","percent","0.1","0.2",0
"HHS Region 10","Season peak percentage","Bin","percent","0.2","0.3",0
"HHS Region 10","Season peak percentage","Bin","percent","0.3","0.4",0
"HHS Region 10","Season peak percentage","Bin","percent","0.4","0.5",0
"HHS Region 10","Season peak percentage","Bin","percent","0.5","0.6",0
"HHS Region 10","Season peak percentage","Bin","percent","0.6","0.7",0
"HHS Region 10","Season peak percentage","Bin","percent","0.7","0.8",0
"HHS Region 10","Season peak percentage","Bin","percent","0.8","0.9",0
"HHS Region 10","Season peak percentage","Bin","percent","0.9","1",0
"HHS Region 10","Season peak percentage","Bin","percent","1","1.1",0
"HHS Region 10","Season peak percentage","Bin","percent","1.1","1.2",0
"HHS Region 10","Season peak percentage","Bin","percent","1.2","1.3",0
"HHS Region 10","Season peak percentage","Bin","percent","1.3","1.4",0
"HHS Region 10","Season peak percentage","Bin","percent","1.4","1.5",0
"HHS Region 10","Season peak percentage","Bin","percent","1.5","1.6",0
"HHS Region 10","Season peak percentage","Bin","percent","1.6","1.7",0
"HHS Region 10","Season peak percentage","Bin","percent","1.7","1.8",0
"HHS Region 10","Season peak percentage","Bin","percent","1.8","1.9",0
"HHS Region 10","Season peak percentage","Bin","percent","1.9","2",0
"HHS Region 10","Season peak percentage","Bin","percent","2","2.1",0
"HHS Region 10","Season peak percentage","Bin","percent","2.1","2.2",0
"HHS Region 10","Season peak percentage","Bin","percent","2.2","2.3",0
"HHS Region 10","Season peak percentage","Bin","percent","2.3","2.4",0
"HHS Region 10","Season peak percentage","Bin","percent","2.4","2.5",0
"HHS Region 10","Season peak percentage","Bin","percent","2.5","2.6",0
"HHS Region 10","Season peak percentage","Bin","percent","2.6","2.7",0
"HHS Region 10","Season peak percentage","Bin","percent","2.7","2.8",0
"HHS Region 10","Season peak percentage","Bin","percent","2.8","2.9",0
"HHS Region 10","Season peak percentage","Bin","percent","2.9","3",0
"HHS Region 10","Season peak percentage","Bin","percent","3","3.1",0
"HHS Region 10","Season peak percentage","Bin","percent","3.1","3.2",0
"HHS Region 10","Season peak percentage","Bin","percent","3.2","3.3",0
"HHS Region 10","Season peak percentage","Bin","percent","3.3","3.4",0
"HHS Region 10","Season peak percentage","Bin","percent","3.4","3.5",0
"HHS Region 10","Season peak percentage","Bin","percent","3.5","3.6",0
"HHS Region 10","Season peak percentage","Bin","percent","3.6","3.7",0
"HHS Region 10","Season peak percentage","Bin","percent","3.7","3.8",0
"HHS Region 10","Season peak percentage","Bin","percent","3.8","3.9",0
"HHS Region 10","Season peak percentage","Bin","percent","3.9","4",0
